trial;present;key;iter_ns;rec_ns;iter_found;rec_found
336;1;6633.6890000000;0;0;1;1
337;0;14773.1374500002;100;100;0;0
338;0;402.2774500000;0;100;0;0
339;0;3109.7304500000;100;100;0;0
340;0;6387.3424500000;100;100;0;0
341;1;10822.0830000001;0;0;1;1
342;0;2564.7814500000;0;100;0;0
343;0;3641.8404500000;100;100;0;0
344;0;12675.1934500002;0;100;0;0
345;0;2449.6854500000;100;100;0;0
346;0;10881.2374500001;100;100;0;0
347;0;7414.7204500000;100;100;0;0
348;1;11463.6330000001;100;0;1;1
349;1;12834.8050000002;200;100;1;1
350;0;8793.1214500000;100;100;0;0
351;0;8345.5944500000;200;100;0;0
352;0;10338.0324500001;100;100;0;0
353;1;2408.1040000000;100;100;1;1
354;1;6055.6740000000;100;100;1;1
355;0;12934.0054500002;100;100;0;0
356;1;3642.2950000000;100;0;1;1
357;0;11821.2564500001;100;100;0;0
358;0;4950.9544500000;200;100;0;0
359;0;13017.6784500002;100;100;0;0
360;0;4796.4514500000;100;100;0;0
361;1;13497.0860000002;200;100;1;1
362;1;1114.2940000000;100;100;1;1
363;0;9566.5074500000;100;200;0;0
364;0;15736.2494500002;100;100;0;0
365;1;9790.3640000001;100;100;1;1
366;1;2442.7000000000;100;100;1;1
367;1;5894.8260000000;100;100;1;1
368;0;14155.4474500002;100;100;0;0
369;1;2752.5290000000;200;0;1;1
370;1;1851.5090000000;100;0;1;1
371;1;2889.3990000000;100;100;1;1
372;0;8643.9474500000;100;100;0;0
373;1;14726.7280000002;100;100;1;1
374;0;198.4774500000;100;100;0;0
375;1;12383.2260000001;100;100;1;1
376;0;13981.3204500002;100;100;0;0
377;1;13417.7380000002;100;100;1;1
378;1;15295.7150000002;100;100;1;1
379;0;7829.9154500000;100;100;0;0
380;1;12089.8780000001;100;100;1;1
381;0;1732.7264500000;100;0;0;0
382;0;11608.4724500001;100;100;0;0
383;1;6945.5120000000;100;100;1;1
384;1;13159.2910000002;100;200;1;1
385;0;12063.2844500001;100;100;0;0
386;1;10806.9890000001;0;100;1;1
387;0;10073.5924500000;100;0;0;0
388;1;4329.4790000000;100;100;1;1
389;1;4692.6220000000;100;100;1;1
390;0;9327.6404500001;100;100;0;0
391;0;5280.1474500000;200;100;0;0
392;1;14979.2270000002;100;100;1;1
393;1;12967.4840000002;100;100;1;1
394;1;11692.7770000001;100;0;1;1
395;0;8886.3514500000;100;100;0;0
396;0;4041.4244500000;100;100;0;0
397;0;12724.0634500002;100;0;0;0
398;0;715.7584500000;100;100;0;0
399;1;9149.3180000000;100;0;1;1
400;1;11074.9200000001;200;100;1;1
401;0;6672.6004500000;100;100;0;0
402;0;7694.2794500000;100;100;0;0
403;0;10913.1094500001;100;100;0;0
404;1;15018.2600000002;100;100;1;1
405;0;12320.5374500001;100;200;0;0
