trial;present;iter_ms;rec_ms;iter_found;rec_found
556;1;0.000000;0.000000;1;1
557;0;0.000000;0.000000;0;0
558;1;0.000000;0.000000;1;1
559;1;0.000000;0.000000;1;1
560;0;0.000000;0.000000;0;0
561;1;0.000000;0.000000;1;1
562;1;0.000000;0.000000;1;1
563;1;0.000000;0.000000;1;1
564;1;0.000000;0.000000;1;1
565;1;0.000000;0.000000;1;1
566;0;0.000000;0.000000;0;0
567;0;0.000000;0.000000;0;0
568;0;0.000000;0.000000;0;0
569;1;0.000000;0.000000;1;1
570;0;0.000000;0.000000;0;0
571;0;0.000000;0.000000;0;0
572;1;0.000000;0.000000;1;1
573;1;0.000000;0.000000;1;1
574;0;0.000000;0.000000;0;0
575;1;0.000000;0.000000;1;1
576;1;0.000000;0.000000;1;1
577;1;0.000000;0.000000;1;1
578;0;0.000000;0.000000;0;0
579;0;0.000000;0.000000;0;0
580;0;0.000000;0.000000;0;0
581;1;0.000000;0.000000;1;1
582;1;0.000000;0.000000;1;1
583;1;0.000000;0.000000;1;1
584;1;0.000000;0.000000;1;1
585;1;0.000000;0.000000;1;1
586;1;0.000000;0.000000;1;1
587;1;0.000000;0.000000;1;1
588;1;0.000000;0.000000;1;1
589;0;0.000000;0.000000;0;0
590;1;0.000000;0.000000;1;1
591;1;0.000000;0.000000;1;1
592;1;0.000000;0.000000;1;1
593;1;0.000000;0.000000;1;1
594;0;0.000000;0.000000;0;0
595;1;0.000000;0.000000;1;1
596;0;0.000000;0.000000;0;0
597;0;0.000000;0.000000;0;0
598;1;0.000000;0.000000;1;1
599;0;0.000000;0.000000;0;0
600;0;0.000000;0.000000;0;0
601;0;0.000000;0.000000;0;0
602;1;0.000000;0.000000;1;1
603;1;0.000000;0.000000;1;1
604;1;0.000000;0.000000;1;1
605;1;0.000000;0.000000;1;1
606;1;0.000000;0.000000;1;1
607;1;0.000000;0.000000;1;1
608;0;0.000000;0.000000;0;0
609;1;0.000000;0.000000;1;1
610;1;0.000000;0.000000;1;1
611;0;0.000000;0.000000;0;0
612;1;0.000000;0.000000;1;1
613;1;0.000000;0.000000;1;1
614;0;0.000000;0.000000;0;0
615;0;0.000000;0.000000;0;0
616;1;0.000000;0.000000;1;1
617;1;0.000000;0.000000;1;1
618;0;0.000000;0.000000;0;0
619;1;0.000000;0.000000;1;1
620;1;0.000000;0.000000;1;1
621;0;0.000000;0.000000;0;0
622;0;0.000000;0.000000;0;0
623;1;0.000000;0.000000;1;1
624;0;0.000000;0.000000;0;0
625;0;0.000000;0.000000;0;0
626;1;0.000000;0.000000;1;1
627;0;0.000000;0.000000;0;0
628;1;0.000000;0.000000;1;1
629;0;0.000000;0.000000;0;0
630;0;0.000000;0.000000;0;0
631;1;0.000000;0.000000;1;1
632;1;0.000000;0.000000;1;1
633;1;0.000000;0.000000;1;1
634;1;0.000000;0.000000;1;1
635;1;0.000000;0.000000;1;1
636;0;0.000000;0.000000;0;0
637;1;0.000000;0.000000;1;1
638;0;0.000000;0.000000;0;0
639;0;0.000000;0.000000;0;0
640;0;0.000000;0.000000;0;0
641;1;0.000000;0.000000;1;1
642;1;0.000000;0.000000;1;1
643;0;0.000000;0.000000;0;0
644;1;0.000000;0.000000;1;1
645;1;0.000000;0.000000;1;1
646;0;0.000000;0.000000;0;0
647;1;0.000000;0.000000;1;1
648;0;0.000000;0.000000;0;0
649;0;0.000000;0.000000;0;0
650;0;0.000000;0.000000;0;0
651;1;0.000000;0.000000;1;1
652;0;0.000000;0.000000;0;0
653;0;0.000000;0.000000;0;0
654;0;0.000000;0.000000;0;0
655;1;0.000000;0.000000;1;1
656;0;0.000000;0.000000;0;0
657;0;0.000000;0.000000;0;0
658;0;0.000000;0.000000;0;0
659;1;0.000000;0.000000;1;1
660;1;0.000000;0.000000;1;1
661;0;0.000000;0.000000;0;0
662;0;0.000000;0.000000;0;0
663;0;0.000000;0.000000;0;0
664;0;0.000000;0.000000;0;0
665;0;0.000000;0.000000;0;0
666;0;0.000000;0.000000;0;0
667;1;0.000000;0.000000;1;1
668;1;0.000000;0.000000;1;1
669;1;0.000000;0.000000;1;1
670;0;0.000000;0.000000;0;0
671;1;0.000000;0.000000;1;1
672;0;0.000000;0.000000;0;0
673;0;0.000000;0.000000;0;0
674;0;0.000000;0.000000;0;0
675;0;0.000000;0.000000;0;0
676;1;0.000000;0.000000;1;1
677;1;0.000000;0.000000;1;1
678;0;0.000000;0.000000;0;0
679;0;0.000000;0.000000;0;0
680;0;0.000000;0.000000;0;0
681;0;0.000000;0.000000;0;0
682;1;0.000000;0.000000;1;1
683;0;0.000000;0.000000;0;0
684;0;0.000000;0.000000;0;0
685;0;0.000000;0.000000;0;0
686;1;0.000000;0.000000;1;1
687;1;0.000000;0.000000;1;1
688;1;0.000000;0.000000;1;1
689;1;0.000000;0.000000;1;1
690;1;0.000000;0.000000;1;1
691;1;0.000000;0.000000;1;1
692;0;0.000000;0.000000;0;0
693;0;0.000000;0.000000;0;0
694;1;0.000000;0.000000;1;1
695;1;0.000000;0.000000;1;1
696;0;0.000000;0.000000;0;0
697;1;0.000000;0.000000;1;1
698;1;0.000000;0.000000;1;1
699;0;0.000000;0.000000;0;0
700;0;0.000000;0.000000;0;0
701;1;0.000000;0.000000;1;1
702;1;0.000000;0.000000;1;1
703;1;0.000000;0.000000;1;1
704;0;0.000000;0.000000;0;0
705;0;0.000000;0.000000;0;0
706;0;0.000000;0.000000;0;0
707;0;0.000000;0.000000;0;0
708;1;0.000000;0.000000;1;1
709;0;0.000000;0.000000;0;0
710;1;0.000000;0.000000;1;1
711;0;0.000000;0.000000;0;0
712;0;0.000000;0.000000;0;0
713;1;0.000000;0.000000;1;1
714;1;0.000000;0.000000;1;1
715;1;0.000000;0.000000;1;1
716;1;0.000000;0.000000;1;1
717;0;0.000000;0.000000;0;0
718;0;0.000000;0.000000;0;0
719;1;0.000000;0.000000;1;1
720;1;0.000000;0.000000;1;1
721;0;0.000000;0.000000;0;0
722;1;0.000000;0.000000;1;1
723;0;0.000000;0.000000;0;0
724;0;0.000000;0.000000;0;0
725;0;0.000000;0.000000;0;0
726;0;0.000000;0.000000;0;0
727;0;0.000000;0.000000;0;0
728;1;0.000000;0.000000;1;1
729;1;0.000000;0.000000;1;1
730;1;0.000000;0.000000;1;1
731;1;0.000000;0.000000;1;1
732;1;0.000000;0.000000;1;1
733;0;0.000000;0.000000;0;0
734;1;0.000000;0.000000;1;1
735;0;0.000000;0.000000;0;0
736;0;0.000000;0.000000;0;0
737;1;0.000000;0.000000;1;1
738;0;0.000000;0.000000;0;0
739;0;0.000000;0.000000;0;0
740;1;0.000000;0.000000;1;1
741;1;0.000000;0.000000;1;1
742;1;0.000000;0.000000;1;1
743;0;0.000000;0.000000;0;0
744;1;0.000000;0.000000;1;1
745;0;0.000000;0.000000;0;0
746;0;0.000000;0.000000;0;0
747;1;0.000000;0.000000;1;1
748;0;0.000000;0.000000;0;0
749;0;0.000000;0.000000;0;0
750;0;0.000000;0.000000;0;0
751;1;0.000000;0.000000;1;1
752;1;0.000000;0.000000;1;1
753;0;0.000000;0.000000;0;0
754;1;0.000000;0.000000;1;1
755;0;0.000000;0.000000;0;0
756;1;0.000000;0.000000;1;1
757;1;0.000000;0.000000;1;1
758;0;0.000000;0.000000;0;0
759;0;0.000000;0.000000;0;0
760;1;0.000000;0.000000;1;1
761;0;0.000000;0.000000;0;0
762;0;0.000000;0.000000;0;0
763;0;0.000000;0.000000;0;0
764;0;0.000000;0.000000;0;0
765;1;0.000000;0.000000;1;1
766;1;0.000000;0.000000;1;1
767;0;0.000000;0.000000;0;0
768;0;0.000000;0.000000;0;0
769;0;0.000000;0.000000;0;0
770;1;0.000000;0.000000;1;1
